Customer_ID,Name,City,Gender,Age,Registration_Date
C00001,Customer_1,Lahore,Female,38,2023-08-19
C00002,Customer_2,Rawalpindi,Female,47,2023-06-24
C00003,Customer_3,Lahore,Female,32,2023-06-11
C00004,Customer_4,Lahore,Male,43,2023-05-01
C00005,Customer_5,Rawalpindi,Female,22,2023-01-11
C00006,Customer_6,Rawalpindi,Female,30,2023-06-20
C00007,Customer_7,Lahore,Female,25,2023-08-10
C00008,Customer_8,Islamabad,Male,41,2023-04-05
C00009,Customer_9,Lahore,Female,48,2023-07-25
C00010,Customer_10,Lahore,Female,30,2023-11-28
C00011,Customer_11,Lahore,Female,36,2023-09-08
C00012,Customer_12,Lahore,Male,26,2023-02-16
C00013,Customer_13,Rawalpindi,Male,20,2023-02-25
C00014,Customer_14,Lahore,Female,46,2023-07-01
C00015,Customer_15,Islamabad,Female,48,2023-05-10
C00016,Customer_16,Rawalpindi,Male,43,2023-07-25
C00017,Customer_17,Islamabad,Male,49,2023-03-22
C00018,Customer_18,Islamabad,Male,31,2023-06-15
C00019,Customer_19,Islamabad,Female,41,2023-01-13
C00020,Customer_20,Islamabad,Male,24,2023-11-09
C00021,Customer_21,Rawalpindi,Male,30,2023-12-02
C00022,Customer_22,Rawalpindi,Male,26,2023-01-02
C00023,Customer_23,Islamabad,Male,28,2023-11-29
C00024,Customer_24,Islamabad,Female,26,2023-04-01
C00025,Customer_25,Rawalpindi,Male,28,2023-10-23
C00026,Customer_26,Rawalpindi,Female,31,2023-06-13
C00027,Customer_27,Rawalpindi,Male,32,2023-01-30
C00028,Customer_28,Lahore,Female,34,2023-06-04
C00029,Customer_29,Lahore,Female,18,2023-11-07
C00030,Customer_30,Lahore,Female,20,2023-08-15
C00031,Customer_31,Islamabad,Female,40,2023-06-29
C00032,Customer_32,Lahore,Male,20,2023-07-28
C00033,Customer_33,Islamabad,Female,20,2023-08-25
C00034,Customer_34,Islamabad,Female,21,2023-05-11
C00035,Customer_35,Lahore,Female,41,2023-05-25
C00036,Customer_36,Islamabad,Female,47,2023-09-28
C00037,Customer_37,Lahore,Female,49,2023-05-10
C00038,Customer_38,Lahore,Male,34,2023-07-04
C00039,Customer_39,Rawalpindi,Female,37,2023-09-06
C00040,Customer_40,Lahore,Female,21,2023-08-17
C00041,Customer_41,Rawalpindi,Female,30,2023-06-04
C00042,Customer_42,Lahore,Female,41,2023-04-04
C00043,Customer_43,Lahore,Female,24,2023-04-27
C00044,Customer_44,Rawalpindi,Male,21,2023-02-10
C00045,Customer_45,Rawalpindi,Male,45,2023-04-24
C00046,Customer_46,Lahore,Male,25,2023-10-06
C00047,Customer_47,Islamabad,Female,28,2023-06-16
C00048,Customer_48,Rawalpindi,Female,36,2023-08-11
C00049,Customer_49,Islamabad,Male,43,2023-10-22
C00050,Customer_50,Islamabad,Female,47,2023-10-20
C00051,Customer_51,Islamabad,Male,24,2023-06-17
C00052,Customer_52,Rawalpindi,Female,26,2023-01-27
C00053,Customer_53,Islamabad,Female,39,2023-04-18
C00054,Customer_54,Rawalpindi,Female,21,2023-05-03
C00055,Customer_55,Islamabad,Male,49,2023-05-12
C00056,Customer_56,Lahore,Male,21,2023-09-28
C00057,Customer_57,Lahore,Male,18,2023-10-11
C00058,Customer_58,Rawalpindi,Male,23,2023-03-28
C00059,Customer_59,Lahore,Male,20,2023-02-12
C00060,Customer_60,Lahore,Male,20,2023-07-11
C00061,Customer_61,Islamabad,Female,18,2023-10-31
C00062,Customer_62,Rawalpindi,Male,24,2023-06-17
C00063,Customer_63,Islamabad,Male,26,2023-11-21
C00064,Customer_64,Islamabad,Male,20,2023-11-21
C00065,Customer_65,Islamabad,Male,40,2023-07-16
C00066,Customer_66,Islamabad,Female,42,2023-01-23
C00067,Customer_67,Islamabad,Male,32,2023-10-17
C00068,Customer_68,Islamabad,Male,47,2023-11-24
C00069,Customer_69,Islamabad,Male,20,2023-01-23
C00070,Customer_70,Rawalpindi,Male,49,2023-05-11
C00071,Customer_71,Lahore,Female,42,2023-01-23
C00072,Customer_72,Islamabad,Female,28,2023-08-26
C00073,Customer_73,Islamabad,Female,35,2023-04-04
C00074,Customer_74,Islamabad,Male,20,2023-07-12
C00075,Customer_75,Islamabad,Male,44,2023-11-27
C00076,Customer_76,Islamabad,Male,37,2023-01-04
C00077,Customer_77,Islamabad,Female,47,2023-03-29
C00078,Customer_78,Lahore,Female,24,2023-03-11
C00079,Customer_79,Lahore,Male,44,2023-03-21
C00080,Customer_80,Islamabad,Male,49,2023-09-19
C00081,Customer_81,Lahore,Male,26,2023-04-17
C00082,Customer_82,Rawalpindi,Female,46,2023-08-21
C00083,Customer_83,Islamabad,Male,34,2023-06-15
C00084,Customer_84,Rawalpindi,Female,45,2023-06-19
C00085,Customer_85,Rawalpindi,Female,26,2023-09-14
C00086,Customer_86,Islamabad,Female,27,2023-09-02
C00087,Customer_87,Lahore,Female,30,2023-08-30
C00088,Customer_88,Rawalpindi,Male,22,2023-11-13
C00089,Customer_89,Islamabad,Female,48,2023-09-01
